time_s,ref_deg,actual_deg,error_deg,current_A
1.190000000000000085e-01,5.589868421052631708e-01,1.319263673961112437e-01,4.270604747091519271e-01,1.876865075025224172e+01
1.199999999999999956e-01,5.684210526315789380e-01,1.357405975926326280e-01,4.326804550389463100e-01,1.879346331791572311e+01
1.209999999999999964e-01,5.779342105263157725e-01,1.396158724250390060e-01,4.383183381012767388e-01,1.881809341070404784e+01
1.219999999999999973e-01,5.875263157894735633e-01,1.435525013233019120e-01,4.439738144661716790e-01,1.884254210136826302e+01
1.229999999999999982e-01,5.971973684210526434e-01,1.475507913933932214e-01,4.496465770276594220e-01,1.886681045701806880e+01
1.239999999999999991e-01,6.069473684210525688e-01,1.516110474310429779e-01,4.553363209900095909e-01,1.889089953914745479e+01
1.250000000000000000e-01,6.167763157894736725e-01,1.557335719354259462e-01,4.610427438540476430e-01,1.891481040366020849e+01
1.260000000000000009e-01,6.266842105263157325e-01,1.599186651227769984e-01,4.667655454035388174e-01,1.893854410089532436e+01
1.270000000000000018e-01,6.366710526315789709e-01,1.641666249399356958e-01,4.725044276916432473e-01,1.896210167565230265e+01
1.280000000000000027e-01,6.467368421052632765e-01,1.684777470778203168e-01,4.782590950274429042e-01,1.898548416721632748e+01
1.290000000000000036e-01,6.568815789473684275e-01,1.728523249848321897e-01,4.840292539625362100e-01,1.900869260938335970e+01
1.300000000000000044e-01,6.671052631578947567e-01,1.772906498801896380e-01,4.898146132777050910e-01,1.903172803048510531e+01
1.310000000000000053e-01,6.774078947368421533e-01,1.817930107671930362e-01,4.956148839696491448e-01,1.905459145341387739e+01
1.320000000000000062e-01,6.877894736842106171e-01,1.863596944464204486e-01,5.014297792377900853e-01,1.907728389564736560e+01
1.330000000000000071e-01,6.982500000000000373e-01,1.909909855288544622e-01,5.072590144711456306e-01,1.909980636927327069e+01
1.340000000000000080e-01,7.087894736842106358e-01,1.956871664489407692e-01,5.131023072352698389e-01,1.912215988101388220e+01
1.350000000000000089e-01,7.194078947368421906e-01,2.004485174775784140e-01,5.189593772592637766e-01,1.914434543225049978e+01
1.360000000000000098e-01,7.301052631578949237e-01,2.052753167350422070e-01,5.248299464228527444e-01,1.916636401904777287e+01
1.370000000000000107e-01,7.408815789473685021e-01,2.101678402038378579e-01,5.307137387435306719e-01,1.918821663217794793e+01
1.380000000000000115e-01,7.517368421052632588e-01,2.151263617414896634e-01,5.366104803637735676e-01,1.920990425714498429e+01
1.390000000000000124e-01,7.626710526315789718e-01,2.201511530932615812e-01,5.425198995383173628e-01,1.923142787420859889e+01
1.400000000000000133e-01,7.736842105263159741e-01,2.252424839048114968e-01,5.484417266215044773e-01,1.925278845840817610e+01
1.410000000000000142e-01,7.847763157894738217e-01,2.304006217347795704e-01,5.543756940546942236e-01,1.927398697958660279e+01
1.420000000000000151e-01,7.959473684210527367e-01,2.356258320673103035e-01,5.603215363537423777e-01,1.929502440241397210e+01
1.430000000000000160e-01,8.071973684210527189e-01,2.409183783245094079e-01,5.662789900965433665e-01,1.931590168641121963e+01
1.440000000000000169e-01,8.185263157894737684e-01,2.462785218788351438e-01,5.722477939106386247e-01,1.933661978597364239e+01
1.449999999999999900e-01,8.299342105263156633e-01,2.517065220654246538e-01,5.782276884608910095e-01,1.935717965039430410e+01
1.459999999999999909e-01,8.414210526315788474e-01,2.572026361943557937e-01,5.842184164372230537e-01,1.937758222388736229e+01
1.469999999999999918e-01,8.529868421052629879e-01,2.627671195628444867e-01,5.902197225424185012e-01,1.939782844561128528e+01
1.479999999999999927e-01,8.646315789473683067e-01,2.684002254673779619e-01,5.962313534799903447e-01,1.941791924969196614e+01
1.489999999999999936e-01,8.763552631578946928e-01,2.741022052157843780e-01,6.022530579421102592e-01,1.943785556524575142e+01
1.499999999999999944e-01,8.881578947368420351e-01,2.798733081392391076e-01,6.082845865976028721e-01,1.945763831640235608e+01
1.509999999999999953e-01,9.000394736842104448e-01,2.857137816042076284e-01,6.143256920800028720e-01,1.947726842232769329e+01
1.519999999999999962e-01,9.120000000000000329e-01,2.916238710243254095e-01,6.203761289756745123e-01,1.949674679724659754e+01
